case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
165,neutral_new,The Million Second Quiz,Q14898907,CBS,NBC,0.0,0.0,0.0,P449,19,,1,3,avg_true_dominance_generation
5043,neutral_new,Sonic Underground,Q1535979,Japan,France,0.5111,0.0222,-0.4889,P495,288,0.000287,1,3,avg_true_dominance_generation
7319,neutral_new,Sextus Pompeius Festus,Q302723,Russian,Latin,0.8333,0.0,-0.8333,P1412,23,0.0,1,3,avg_true_dominance_generation
9407,information_not_credible_source_new,Alexei Kovalev,Q102282367,basketball,hockey,0.8222,0.0,-0.8222,P641,0,0.0,1,3,avg_true_dominance_generation
10231,encyclopaedia,Polina Gagarina,Q4131386,politician,actor,0.4667,0.0167,-0.45,P106,99,0.000252,1,3,avg_true_dominance_generation
12923,encyclopaedia,Big Daddy Weave,Q4905546,Manchester,Mobile,0.6667,0.0,-0.6667,P740,137,0.0,1,3,avg_true_dominance_generation
15766,neutral_new,Hauk Aabel,Q3354983,photographer,actor,0.5778,0.0,-0.5778,P106,2,0.0,1,3,avg_true_dominance_generation
19322,information_not_credible_source_new,Madame Figaro,Q3275273,Spanish,French,0.5556,0.1,-0.4556,P407,38,0.000393,1,3,avg_true_dominance_generation
20324,encyclopaedia,Peter Howson,Q711799,Rome,London,0.5733,0.12,-0.4533,P19,32,0.0,1,3,avg_true_dominance_generation
21157,neutral_new,Report Program Generator,Q840543,Microsoft,IBM,0.6556,0.0,-0.6556,P178,85,0.0,1,3,avg_true_dominance_generation
2878,encyclopaedia,Sony Alpha 99,Q402211,Triumph,Sony,0.2815,0.1333,-0.1481,P176,21,0.000405,2,3,avg_true_dominance_generation
3333,encyclopaedia,Mario Monti,Q47904,Japan,Italy,0.375,0.2333,-0.1417,P27,186,0.000221,2,3,avg_true_dominance_generation
3522,encyclopaedia,MacApp,Q6721707,Microsoft,Apple,0.7,0.1556,-0.5444,P178,12,0.00061,2,3,avg_true_dominance_generation
3863,information_not_credible_source_new,The Exploited,Q117684,Olympia,Edinburgh,0.28,0.2267,-0.0533,P740,324,0.0,2,3,avg_true_dominance_generation
4949,encyclopaedia,Piove di Sacco,Q34317,Mexico,Italy,0.4857,0.1714,-0.3143,P17,5,0.001885,2,3,avg_true_dominance_generation
6555,neutral_new,Apple Bandai Pippin,Q621312,Yahoo,Apple,0.3,0.2556,-0.0444,P178,37,0.0,2,3,avg_true_dominance_generation
6940,information_not_credible_source_new,Ahmad Zahir,Q195522,Wellington,Kabul,0.7167,0.1667,-0.55,P19,110,0.0,2,3,avg_true_dominance_generation
14749,information_not_credible_source_new,Canada men's national soccer team,Q208635,NATO,FIFA,0.3028,0.2361,-0.0667,P463,844,0.0,2,3,avg_true_dominance_generation
16048,encyclopaedia,Eurajoki,Q1001783,Dutch,Finnish,0.45,0.1833,-0.2667,P37,10,0.0,2,3,avg_true_dominance_generation
18966,information_not_credible_source_new,Birmingham Repertory Theatre,Q4916786,Athens,Birmingham,0.2778,0.1667,-0.1111,P131,39,0.0,2,3,avg_true_dominance_generation
1240,information_not_credible_source_new,Mount Rose (Nevada),Q8526141,Texas,Nevada,0.1444,0.7,0.5556,P131,23,0.001834,3,3,avg_true_dominance_generation
1803,neutral_new,TU Wien,Q689400,Birmingham,Vienna,0.1476,0.5619,0.4143,P159,76,0.0,3,3,avg_true_dominance_generation
4134,neutral_new,Pesisir Selatan,Q6065,Hungary,Indonesia,0.1,0.4867,0.3867,P17,9,0.0,3,3,avg_true_dominance_generation
9832,information_not_credible_source_new,Axel Witsel,Q151838,quarterback,midfielder,0.125,0.575,0.45,P413,1168,0.0,3,3,avg_true_dominance_generation
10326,information_not_credible_source_new,Windows 8.1,Q3569290,Apple,Microsoft,0.2143,0.3952,0.181,P178,818,0.014574,3,3,avg_true_dominance_generation
10509,encyclopaedia,City of Birmingham Symphony Orchestra,Q706774,carbon,Birmingham,0.12,0.4933,0.3733,P138,28,0.000136,3,3,avg_true_dominance_generation
11187,encyclopaedia,Brett Favre,Q267088,hockey,football,0.1667,0.7,0.5333,P641,3116,0.0,3,3,avg_true_dominance_generation
16130,information_not_credible_source_new,Vietnam,Q881,Antarctica,Asia,0.3259,0.4444,0.1185,P30,7298,0.002872,3,3,avg_true_dominance_generation
18242,information_not_credible_source_new,Central African Republic,Q929,Antarctica,Africa,0.0178,0.5556,0.5378,P30,2016,0.003828,3,3,avg_true_dominance_generation
19214,neutral_new,The Immoralist,Q174626,English,French,0.3056,0.4944,0.1889,P364,51,0.011374,3,3,avg_true_dominance_generation
