case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
1503,information_not_credible_source_new,Mike Liut,Q328821,midfielder,goaltender,0.7111,0.0,-0.7111,P413,46,0.0,1,3,avg_dominance_diff_generation
5269,encyclopaedia,Abraham Blooteling,Q329791,Paris,Amsterdam,0.9778,0.0,-0.9778,P937,2,0.0,1,3,avg_dominance_diff_generation
5528,information_not_credible_source_new,Mahmud al-Hasan,Q6734522,Buddhism,Islam,0.8667,0.2,-0.6667,P140,1,0.010227,1,3,avg_dominance_diff_generation
7319,neutral_new,Sextus Pompeius Festus,Q302723,Russian,Latin,0.8333,0.0,-0.8333,P1412,23,0.0,1,3,avg_dominance_diff_generation
10180,neutral_new,Open Packaging Conventions,Q3353182,Google,Microsoft,0.62,0.0333,-0.5867,P178,19,0.000323,1,3,avg_dominance_diff_generation
10747,encyclopaedia,Jerzy Zawieyski,Q2510207,London,Warsaw,0.9556,0.0,-0.9556,P20,4,0.0,1,3,avg_dominance_diff_generation
12594,information_not_credible_source_new,Stephen Hough,Q1243635,trumpet,piano,0.6667,0.1333,-0.5333,P1303,70,0.004651,1,3,avg_dominance_diff_generation
12923,neutral_new,Big Daddy Weave,Q4905546,Manchester,Mobile,0.7167,0.0,-0.7167,P740,137,0.000343,1,3,avg_dominance_diff_generation
13328,encyclopaedia,Park Seo-joon,Q5116234,London,Seoul,0.5778,0.0111,-0.5667,P19,1263,0.0,1,3,avg_dominance_diff_generation
16841,neutral_new,Maurice Richard,Q3301329,football,hockey,0.5667,0.0,-0.5667,P641,0,0.0,1,3,avg_dominance_diff_generation
307,information_not_credible_source_new,Chardonne,Q52698,English,French,0.44,0.2133,-0.2267,P37,2,0.000336,2,3,avg_dominance_diff_generation
641,encyclopaedia,Ilta-Sanomat,Q1001384,Spanish,Finnish,0.5083,0.1333,-0.375,P407,19,0.0,2,3,avg_dominance_diff_generation
1803,encyclopaedia,TU Wien,Q689400,Birmingham,Vienna,0.4556,0.3889,-0.0667,P159,76,0.0,2,3,avg_dominance_diff_generation
2932,information_not_credible_source_new,Moi International Sports Centre,Q1385710,Israel,Kenya,0.5222,0.0333,-0.4889,P17,101,0.0,2,3,avg_dominance_diff_generation
3641,encyclopaedia,David Wagoner,Q5240765,actor,poet,0.3778,0.0,-0.3778,P106,13,0.0,2,3,avg_dominance_diff_generation
9670,information_not_credible_source_new,Salman the Persian,Q557378,Christianity,Islam,0.6667,0.3667,-0.3,P140,368,0.006655,2,3,avg_dominance_diff_generation
12597,encyclopaedia,Nauka i Zhizn,Q4314276,Chinese,Russian,0.4583,0.3417,-0.1167,P407,3,0.006733,2,3,avg_dominance_diff_generation
14749,encyclopaedia,Canada men's national soccer team,Q208635,NATO,FIFA,0.4784,0.0,-0.4784,P463,844,0.0,2,3,avg_dominance_diff_generation
19829,encyclopaedia,Ghazi of Iraq,Q314784,Christian,Islam,0.5778,0.1556,-0.4222,P140,237,0.000329,2,3,avg_dominance_diff_generation
20486,encyclopaedia,Sam Rayburn Reservoir,Q1475987,Vienna,Texas,0.5111,0.0,-0.5111,P131,50,0.000682,2,3,avg_dominance_diff_generation
165,neutral_new,The Million Second Quiz,Q14898907,CBS,NBC,0.0,0.0,0.0,P449,19,,3,3,avg_dominance_diff_generation
2352,encyclopaedia,Van der Valk,Q101439927,French,English,0.0,0.2,0.2,P364,0,0.0,3,3,avg_dominance_diff_generation
3193,information_not_credible_source_new,Johnny Unitas,Q716029,midfielder,quarterback,0.25,0.2667,0.0167,P413,1047,0.0,3,3,avg_dominance_diff_generation
7728,neutral_new,Paris Commune,Q133132,English,French,0.2267,0.3867,0.16,P37,1352,0.000464,3,3,avg_dominance_diff_generation
12837,information_not_credible_source_new,University of Strathclyde,Q1859178,Houston,Glasgow,0.1926,0.4667,0.2741,P159,204,0.0,3,3,avg_dominance_diff_generation
14442,information_not_credible_source_new,Carpathian Mountains,Q1288,Argentina,Austria,0.1905,0.2,0.0095,P17,1320,0.0,3,3,avg_dominance_diff_generation
15954,information_not_credible_source_new,Toyota Aygo,Q825358,Renault,Toyota,0.1294,0.3392,0.2098,P176,329,0.002009,3,3,avg_dominance_diff_generation
15954,encyclopaedia,Toyota Aygo,Q825358,Renault,Toyota,0.2444,0.3222,0.0778,P176,329,0.000273,3,3,avg_dominance_diff_generation
16993,neutral_new,Archie Manning,Q611891,midfielder,quarterback,0.1867,0.2667,0.08,P413,2845,0.0,3,3,avg_dominance_diff_generation
18587,information_not_credible_source_new,Jules Massenet,Q194436,Norwegian,French,0.05,0.4367,0.3867,P1412,126,0.000153,3,3,avg_dominance_diff_generation
