case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,avg_true_dominance_generation_bucket_k3,avg_new_dominance_generation_bucket_k3,avg_dominance_diff_generation_bucket_k3,avg_conflict_pos_bucket_k3
108,encyclopaedia,Bastille,Q689,Canada,France,0.4914,0.1486,-0.3429,P17,512,0.01778,2,2,2,2
165,encyclopaedia,The Million Second Quiz,Q14898907,CBS,NBC,0.5333,0.0,-0.5333,P449,19,0.0,1,2,1,1
187,encyclopaedia,Hamburg International Film Festival,Q1414659,Rome,Hamburg,0.4333,0.2,-0.2333,P276,8,0.0,2,2,2,1
222,encyclopaedia,Mount Markham,Q1412427,Europe,Antarctica,0.5167,0.2,-0.3167,P30,4,0.012291,2,2,2,2
239,encyclopaedia,Nizampatnam,Q988685,Ghana,India,0.4952,0.0857,-0.4095,P17,14,0.002248,1,2,2,1
243,encyclopaedia,Housos,Q17007227,Spain,Australia,0.2,0.0,-0.2,P495,69,0.0,1,1,2,1
307,encyclopaedia,Chardonne,Q52698,English,French,0.3905,0.1429,-0.2476,P37,2,0.0,2,2,2,1
423,encyclopaedia,Delchev Ridge,Q5253560,Europe,Antarctica,0.5889,0.0889,-0.5,P30,0,0.007982,1,2,2,2
439,encyclopaedia,Irfan Habib,Q3154342,Singapore,India,0.7867,0.0,-0.7867,P27,136,0.0,1,3,1,1
493,encyclopaedia,Vancouver Symphony Orchestra,Q602381,Pakistan,Canada,0.0982,0.5614,0.4632,P495,18,0.012901,3,1,3,2
503,encyclopaedia,Mark Visentin,Q3048335,midfielder,goaltender,0.5429,0.0095,-0.5333,P413,8,0.0,1,2,1,1
556,encyclopaedia,Jennifer Hudson,Q192410,French,English,0.2762,0.1143,-0.1619,P1412,2649,0.00198,1,1,2,1
641,encyclopaedia,Ilta-Sanomat,Q1001384,Spanish,Finnish,0.5083,0.1333,-0.375,P407,19,0.0,2,2,2,1
679,encyclopaedia,Isidor Philipp,Q105655076,Geneva,Paris,0.8667,0.0667,-0.8,P20,0,0.003944,1,3,1,1
879,encyclopaedia,Kim Myhr,Q11980653,Iraq,Norway,0.6222,0.0,-0.6222,P27,1,0.0,1,3,1,1
903,encyclopaedia,Gregory of Nazianzus,Q44011,cardinal,bishop,0.6,0.0,-0.6,P39,214,0.0,1,3,1,1
941,encyclopaedia,South Boston,Q1759693,Alaska,Boston,0.1944,0.4278,0.2333,P131,201,0.001586,3,1,3,1
1174,encyclopaedia,Alta Verapaz Department,Q504637,English,Spanish,0.3778,0.2556,-0.1222,P37,19,0.0,2,2,2,1
1240,encyclopaedia,Mount Rose (Nevada),Q8526141,Texas,Nevada,0.2524,0.4048,0.1524,P131,23,0.001352,3,1,3,1
1326,encyclopaedia,Johanne Luise Heiberg,Q272246,Tamil,Danish,0.4833,0.1,-0.3833,P1412,13,0.0,1,2,2,1
1360,encyclopaedia,Freddie Keppard,Q490080,funk,jazz,0.3111,0.0444,-0.2667,P136,15,0.001771,1,2,2,1
1459,encyclopaedia,Browning Nagle,Q4976571,midfielder,quarterback,0.6444,0.0,-0.6444,P413,35,0.0,1,3,1,1
1478,encyclopaedia,Demonic Resurrection,Q5256257,Rome,Mumbai,0.8444,0.0,-0.8444,P740,15,0.0,1,3,1,1
1484,encyclopaedia,Battle of the Menin Road Ridge,Q4872951,Atlanta,Belgium,0.3407,0.3481,0.0074,P276,23,0.0,2,2,3,1
1495,encyclopaedia,James Buchanan,Q12325,Toronto,Lancaster,0.9333,0.0,-0.9333,P20,2883,0.0,1,3,1,1
1503,encyclopaedia,Mike Liut,Q328821,midfielder,goaltender,0.6333,0.0,-0.6333,P413,46,0.0,1,3,1,1
1513,encyclopaedia,Liverpool Range,Q1633267,Ireland,Australia,0.5222,0.1111,-0.4111,P17,7,0.001165,1,2,2,1
1601,encyclopaedia,Suddenly Susan,Q643894,jazz,sitcom,0.6667,0.0,-0.6667,P136,266,0.000906,1,3,1,1
