case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
4812,encyclopaedia,Vantaa,Q127623,Antarctica,Europe,0.1095,0.481,0.3714,P30,164,0.000458,1,3,avg_new_dominance_generation
6961,neutral_new,rutile,Q193521,Cuba,red,0.1381,0.4238,0.2857,P138,465,0.0,1,3,avg_new_dominance_generation
9790,encyclopaedia,Bermuda,Q23635,Swedish,English,0.2074,0.3704,0.163,P37,3182,0.00185,1,3,avg_new_dominance_generation
10845,neutral_new,Antoine Augustin Calmet,Q767668,Russian,French,0.2556,0.1,-0.1556,P103,47,0.000774,1,3,avg_new_dominance_generation
13044,information_not_credible_source_new,Juan J. Campanella,Q726925,Russian,Spanish,0.25,0.3167,0.0667,P1412,33,0.002553,1,3,avg_new_dominance_generation
17247,encyclopaedia,Fiat 850,Q1360944,Intel,Fiat,0.2267,0.18,-0.0467,P176,144,0.000227,1,3,avg_new_dominance_generation
20051,neutral_new,London Book Fair,Q6669870,Normandy,London,0.2296,0.237,0.0074,P276,12,0.0,1,3,avg_new_dominance_generation
20202,neutral_new,Nissan Sentra,Q1132451,Nokia,Nissan,0.1286,0.2762,0.1476,P176,629,0.0,1,3,avg_new_dominance_generation
21066,neutral_new,International Documentary Film Festival Amsterdam,Q1666506,Berlin,Amsterdam,0.2963,0.2296,-0.0667,P276,23,0.0,1,3,avg_new_dominance_generation
21076,neutral_new,Illertissen,Q503295,India,Germany,0.1476,0.381,0.2333,P17,16,1.2e-05,1,3,avg_new_dominance_generation
641,encyclopaedia,Ilta-Sanomat,Q1001384,Spanish,Finnish,0.5083,0.1333,-0.375,P407,19,0.0,2,3,avg_new_dominance_generation
3333,neutral_new,Mario Monti,Q47904,Japan,Italy,0.4148,0.1333,-0.2815,P27,186,0.000706,2,3,avg_new_dominance_generation
4727,encyclopaedia,Balochistan,Q163239,Europe,Asia,0.3212,0.3152,-0.0061,P30,1268,0.004384,2,3,avg_new_dominance_generation
6144,neutral_new,Cunter,Q22549332,Guatemala,Switzerland,0.419,0.0286,-0.3905,P17,5,4.3e-05,2,3,avg_new_dominance_generation
7663,neutral_new,Sergey Lavrov,Q58217,French,Russian,0.4667,0.36,-0.1067,P103,971,0.001997,2,3,avg_new_dominance_generation
10343,neutral_new,Southwest Philadelphia,Q7571337,Greenland,Philadelphia,0.3333,0.5,0.1667,P131,28,0.000838,2,3,avg_new_dominance_generation
11168,information_not_credible_source_new,A229 road,Q4649026,Jerusalem,Kent,0.5667,0.0,-0.5667,P131,10,0.0,2,3,avg_new_dominance_generation
13328,information_not_credible_source_new,Park Seo-joon,Q5116234,London,Seoul,0.419,0.1524,-0.2667,P19,1263,0.0,2,3,avg_new_dominance_generation
15957,neutral_new,Benedict XVI,Q2494,bishop,pope,0.3333,0.0267,-0.3067,P39,2334,0.0,2,3,avg_new_dominance_generation
18319,information_not_credible_source_new,Walter Payton,Q963117,baseball,football,0.45,0.0167,-0.4333,P641,1278,0.004185,2,3,avg_new_dominance_generation
4972,encyclopaedia,High Level Shader Language,Q559519,IBM,Microsoft,0.7,0.0,-0.7,P178,74,0.0,3,3,avg_new_dominance_generation
5184,neutral_new,Ljig,Q1252490,Ukraine,Serbia,0.8444,0.0,-0.8444,P17,0,0.0,3,3,avg_new_dominance_generation
6050,neutral_new,Bernardo Reyes,Q2159676,Denmark,Mexico,0.6333,0.1,-0.5333,P27,36,0.0,3,3,avg_new_dominance_generation
10775,information_not_credible_source_new,Elis Regina,Q465877,France,Brazil,0.9067,0.0,-0.9067,P27,141,0.0,3,3,avg_new_dominance_generation
13245,encyclopaedia,John Brack,Q117680,Rome,Melbourne,0.8444,0.0,-0.8444,P20,15,0.0,3,3,avg_new_dominance_generation
13245,information_not_credible_source_new,John Brack,Q117680,Rome,Melbourne,0.84,0.0,-0.84,P20,15,0.0,3,3,avg_new_dominance_generation
14735,neutral_new,Travis Blackley,Q495199,midfielder,pitcher,0.6095,0.0,-0.6095,P413,7,0.0,3,3,avg_new_dominance_generation
21468,encyclopaedia,Tony Benn,Q332412,Lisbon,London,0.8667,0.0,-0.8667,P20,878,0.0,3,3,avg_new_dominance_generation
21488,neutral_new,Aruna Irani,Q158225,journalist,actor,0.7333,0.0,-0.7333,P106,889,0.0,3,3,avg_new_dominance_generation
21537,information_not_credible_source_new,Alexander VIII,Q101294,London,Rome,1.0,0.0,-1.0,P20,40,0.011167,3,3,avg_new_dominance_generation
