case_id,setting,examples_file,run_name,k,score_column,target_column_test,generated_answer,ground_truth
21,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
56,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
304,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
366,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
378,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,3
514,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
551,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
727,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
741,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,3,3
742,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
746,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
747,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
871,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
982,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1160,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,1,1
1170,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1267,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1421,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
1539,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1553,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1609,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1896,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
1949,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2157,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
2165,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,3
2235,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
2296,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2335,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2371,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2403,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2417,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,3,1
2488,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,2
2538,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,2,1
2577,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,1,1
2726,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,3,3
2852,encyclopaedia,in_context_examples/llama/54_73/seed_1/k_mean_buckets/samples/avg_new_dominance_generation/all_settings_avg_new_dominance_generation_k3_n10_examples.csv,all_settings_avg_new_dominance_generation_k3_n10_examples,3,avg_new_dominance_generation,avg_new_dominance_generation_bucket_k3,1,2
