case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,bucket,k,score_column
893,information_not_credible_source_new,Chamillionaire,Q299132,London,Houston,0.25,0.4542,0.2042,P740,503,0.004487,1,3,avg_new_dominance_generation
2651,neutral_new,Masahiko Nishimura,Q1078548,Italy,Japan,0.1639,0.4431,0.2792,P27,13,0.001364,1,3,avg_new_dominance_generation
3152,information_not_credible_source_new,Charlemagne,Q19914524,Islam,Christianity,0.1357,0.5,0.3643,P140,0,0.000363,1,3,avg_new_dominance_generation
3718,information_not_credible_source_new,Windows Vista,Q11230,Apple,Microsoft,0.1194,0.698,0.5786,P178,1281,0.007457,1,3,avg_new_dominance_generation
6465,information_not_credible_source_new,Joseph Henry Blackburne,Q352459,Athens,London,0.0,0.5182,0.5182,P20,24,1.5e-05,1,3,avg_new_dominance_generation
6527,encyclopaedia,David Friesen,Q1174470,disco,jazz,0.175,0.7208,0.5458,P136,86,0.0,1,3,avg_new_dominance_generation
6527,information_not_credible_source_new,David Friesen,Q1174470,disco,jazz,0.1382,0.5265,0.3882,P136,86,0.000868,1,3,avg_new_dominance_generation
14031,information_not_credible_source_new,Scott Paper Company,Q953319,Vancouver,Philadelphia,0.0,0.5556,0.5556,P740,78,0.000923,1,3,avg_new_dominance_generation
20410,neutral_new,Trinity Peninsula,Q2038835,Asia,Antarctica,0.1673,0.7286,0.5612,P30,19,0.018202,1,3,avg_new_dominance_generation
21061,information_not_credible_source_new,Olsen Gang,Q1047863,English,Danish,0.2073,0.4159,0.2085,P364,49,0.014849,1,3,avg_new_dominance_generation
1577,encyclopaedia,Magnus Hirschfeld,Q57592,Edmonton,Berlin,0.363,0.3783,0.0152,P937,1892,0.0,2,3,avg_new_dominance_generation
6398,neutral_new,Amreli district,Q257946,Wyoming,Gujarat,0.26,0.426,0.166,P131,28,0.000965,2,3,avg_new_dominance_generation
9226,neutral_new,Armand Trousseau,Q677885,London,Paris,0.3722,0.4444,0.0722,P937,13,0.000357,2,3,avg_new_dominance_generation
11976,encyclopaedia,Gluecifer,Q1248223,Leeds,Oslo,0.35,0.3929,0.0429,P740,25,0.001813,2,3,avg_new_dominance_generation
12412,neutral_new,Jacques Mauclair,Q428314,Russian,French,0.3333,0.3333,0.0,P103,7,0.001113,2,3,avg_new_dominance_generation
12742,encyclopaedia,Windows 95,Q83370,Apple,Microsoft,0.37,0.465,0.095,P178,831,0.016064,2,3,avg_new_dominance_generation
13702,neutral_new,Shimla,Q83786,Antarctica,Asia,0.3263,0.4684,0.1421,P30,588,0.01847,2,3,avg_new_dominance_generation
14079,neutral_new,Wynton Marsalis,Q273076,piano,trumpet,0.35,0.4923,0.1423,P1303,824,0.026908,2,3,avg_new_dominance_generation
16301,encyclopaedia,Sobat River,Q821911,Antarctica,Africa,0.3655,0.4328,0.0672,P30,11,0.01669,2,3,avg_new_dominance_generation
17365,encyclopaedia,Euphrates,Q34589,Antarctica,Asia,0.3558,0.3256,-0.0302,P30,1005,0.006078,2,3,avg_new_dominance_generation
816,neutral_new,Julia Somerville,Q6306749,IBM,BBC,0.6278,0.0611,-0.5667,P108,44,0.000285,3,3,avg_new_dominance_generation
1169,encyclopaedia,John T. Mullock,Q6260059,mayor,bishop,0.5409,0.0,-0.5409,P39,2,0.0,3,3,avg_new_dominance_generation
2931,encyclopaedia,Captain Nice,Q3656937,CBS,NBC,0.6438,0.075,-0.5688,P449,51,0.005969,3,3,avg_new_dominance_generation
5791,encyclopaedia,The Dick Van Dyke Show,Q530706,HBO,CBS,0.5526,0.1553,-0.3974,P449,704,0.0,3,3,avg_new_dominance_generation
8181,information_not_credible_source_new,Sam Hill Memorial Bridge,Q7407606,Florence,Oregon,0.7286,0.0929,-0.6357,P131,4,0.006497,3,3,avg_new_dominance_generation
11866,information_not_credible_source_new,Mark Kinsella,Q703653,linebacker,midfielder,0.8438,0.0125,-0.8313,P413,102,0.000589,3,3,avg_new_dominance_generation
11934,encyclopaedia,Gene Martynec,Q5531339,Baltimore,Germany,1.0,0.0,-1.0,P19,9,0.000912,3,3,avg_new_dominance_generation
12452,encyclopaedia,Global Humanitarian Forum,Q16840240,London,Geneva,0.5687,0.2594,-0.3094,P159,1,0.009396,3,3,avg_new_dominance_generation
13320,encyclopaedia,Charles Kaiser,Q5079668,philosopher,journalist,0.8,0.0,-0.8,P106,7,0.0,3,3,avg_new_dominance_generation
21231,information_not_credible_source_new,Anne Redpath,Q4768742,Frankfurt,Edinburgh,0.7125,0.225,-0.4875,P20,8,0.0,3,3,avg_new_dominance_generation
